created_on,source,industry,Product
12/25/2016,Paid,Health Care,GTXPlusPro
12/26/2016,Direct,SaaS,MGRPFS
12/26/2016,Referral,IT,GTXAdvanced
12/27/2016,Paid,Retail/Entertainment,GTXPlusBasic
12/27/2016,Paid,Telecom,GTXPlusBasic
12/27/2016,Paid,SaaS,MGRPFU
12/28/2016,Paid,Education,GTXPro
12/28/2016,Organic,Telecom,MGRPFU
12/28/2016,Referral,Telecom,GTXBasic
12/28/2016,Referral,Finance,MGRPFS
12/28/2016,Organic,Finance,GTXPro
12/28/2016,Direct,Retail/Entertainment,GTXPlusPro
12/28/2016,Paid,IT,GTK500U
12/28/2016,Referral,SaaS,GTXBasic
12/28/2016,Direct,IT,GTXAdvanced
12/28/2016,Email,Telecom,GTK500U
12/28/2016,Referral,IT,GTXPlusPro
12/28/2016,Referral,Telecom,GTXPlusPro
12/28/2016,Direct,Finance,MGRPFS
12/28/2016,Organic,Telecom,MGRPFS
12/28/2016,Referral,Retail/Entertainment,GTXBasic
12/28/2016,Organic,Health Care,MGRPFS
12/28/2016,Paid,Finance,GTXPlusPro
12/28/2016,Paid,Finance,MGRPFS
12/28/2016,Email,Finance,GTXPro
12/28/2016,Paid,Telecom,GTXPlusBasic
12/29/2016,Email,IT,GTXPlusBasic
12/29/2016,Direct,SaaS,MGRPFU
12/29/2016,Direct,IT,GTXPlusBasic
12/29/2016,Email,Finance,GTK500U
12/29/2016,Paid,Telecom,GTXBasic
12/29/2016,Paid,Retail/Entertainment,MGRPFS
12/29/2016,Email,Finance,MGRPFU
12/29/2016,Direct,SaaS,MGRPFS
12/29/2016,Email,Retail/Entertainment,GTXAdvanced
12/29/2016,Referral,Telecom,MGRPFU
12/29/2016,Email,IT,MGRPFU
12/29/2016,Organic,Telecom,GTK500U
12/30/2016,Paid,SaaS,GTXBasic
12/30/2016,Email,Telecom,GTXPro
12/30/2016,Organic,Telecom,GTXAdvanced
12/30/2016,Email,IT,GTXBasic
12/30/2016,Email,IT,GTXPro
12/30/2016,Referral,Education,GTXAdvanced
12/30/2016,Direct,SaaS,MGRPFS
12/30/2016,Direct,SaaS,GTXAdvanced
12/30/2016,Direct,Telecom,MGRPFS
12/30/2016,Referral,Health Care,GTXPlusPro
12/30/2016,Paid,Health Care,GTXPlusBasic
12/30/2016,Email,Retail/Entertainment,GTXPlusBasic
12/30/2016,Organic,Telecom,GTK500U
12/30/2016,Social,SaaS,MGRPFU
12/30/2016,Direct,Education,GTK500U
12/30/2016,Paid,Retail/Entertainment,GTXPlusPro
12/30/2016,Referral,Retail/Entertainment,GTXPlusBasic
1/1/2017,Paid,Health Care,GTXPro
1/1/2017,Referral,Telecom,GTXPlusBasic
1/1/2017,Organic,Health Care,GTXPro
1/1/2017,Email,Education,GTXPro
1/1/2017,Organic,SaaS,GTXAdvanced
1/1/2017,Paid,SaaS,GTK500U
1/1/2017,Social,Telecom,GTXPro
1/1/2017,Social,Telecom,GTXBasic
1/1/2017,Email,IT,GTXAdvanced
1/1/2017,Social,SaaS,MGRPFU
1/1/2017,Referral,IT,GTXPlusBasic
1/1/2017,Direct,Health Care,MGRPFU
1/1/2017,Email,Telecom,GTK500U
1/1/2017,Organic,Retail/Entertainment,GTXPlusPro
1/1/2017,Email,IT,MGRPFU
1/1/2017,Referral,Finance,GTXPlusPro
1/1/2017,Email,Health Care,GTXAdvanced
1/1/2017,Referral,SaaS,GTK500U
1/1/2017,Direct,SaaS,GTXPro
1/1/2017,Direct,SaaS,GTXPlusPro
1/2/2017,Organic,SaaS,MGRPFS
1/2/2017,Email,Telecom,MGRPFS
1/2/2017,Direct,Telecom,GTK500U
1/2/2017,Paid,SaaS,GTXPlusBasic
1/2/2017,Paid,Education,GTXPro
1/2/2017,Organic,Retail/Entertainment,GTXPlusPro
1/2/2017,Referral,IT,GTXPlusPro
1/2/2017,Email,Education,MGRPFU
1/2/2017,Referral,SaaS,GTXPro
1/2/2017,Email,Finance,MGRPFS
1/2/2017,Referral,Telecom,MGRPFS
1/2/2017,Organic,Education,GTXPlusPro
1/2/2017,Organic,Finance,GTXPlusBasic
1/2/2017,Email,Health Care,GTK500U
1/2/2017,Social,Retail/Entertainment,MGRPFU
1/2/2017,Referral,Telecom,GTXAdvanced
1/3/2017,Paid,SaaS,GTXPlusPro
1/3/2017,Email,IT,GTXPro
1/3/2017,Email,Telecom,GTXPlusBasic
1/3/2017,Referral,Finance,GTXPro
1/3/2017,Paid,IT,GTXBasic
1/3/2017,Direct,Finance,GTXBasic
1/3/2017,Referral,Telecom,GTXPro
1/3/2017,Social,Finance,GTXPlusBasic
1/3/2017,Referral,IT,GTXPlusPro
1/3/2017,Email,Finance,MGRPFS
1/3/2017,Organic,Health Care,GTK500U
1/3/2017,Organic,Finance,GTXPro
1/3/2017,Organic,Telecom,GTXBasic
1/3/2017,Paid,SaaS,GTXPro
1/3/2017,Referral,Health Care,GTXAdvanced
1/3/2017,Email,SaaS,GTXPlusPro
1/3/2017,Direct,SaaS,GTXPlusBasic
1/3/2017,Referral,Finance,GTXBasic
1/3/2017,Organic,Telecom,GTXAdvanced
1/4/2017,Email,Retail/Entertainment,GTXBasic
1/4/2017,Social,Retail/Entertainment,GTXPlusPro
1/4/2017,Social,Finance,GTXBasic
1/4/2017,Email,Finance,GTXPlusPro
1/4/2017,Paid,Finance,GTXBasic
1/4/2017,Organic,Health Care,GTXPlusBasic
1/4/2017,Paid,Telecom,GTXAdvanced
1/4/2017,Direct,Finance,GTXPro
1/4/2017,Paid,Retail/Entertainment,MGRPFU
1/4/2017,Social,Telecom,GTK500U
1/4/2017,Organic,IT,MGRPFU
1/4/2017,Direct,Health Care,GTXBasic
1/4/2017,Referral,IT,GTXPlusPro
1/4/2017,Direct,IT,GTXPlusBasic
1/4/2017,Social,SaaS,GTXBasic
1/4/2017,Social,Health Care,GTXPro
1/4/2017,Organic,Telecom,GTK500U
1/4/2017,Direct,Finance,GTXPlusPro
1/4/2017,Social,SaaS,GTK500U
1/4/2017,Referral,Finance,MGRPFS
1/4/2017,Email,Education,GTXAdvanced
1/4/2017,Social,Retail/Entertainment,GTXPlusBasic
1/4/2017,Paid,Telecom,GTXAdvanced
1/5/2017,Email,IT,GTXBasic
1/5/2017,Organic,SaaS,GTXPlusBasic
1/5/2017,Direct,Finance,GTXPlusBasic
1/5/2017,Social,Education,GTXPro
1/5/2017,Paid,Health Care,GTXAdvanced
1/5/2017,Social,SaaS,GTXBasic
1/5/2017,Referral,IT,GTXPro
1/5/2017,Referral,Education,GTXAdvanced
1/5/2017,Organic,IT,GTK500U
1/5/2017,Paid,Telecom,GTXAdvanced
1/5/2017,Paid,IT,MGRPFS
1/5/2017,Email,Retail/Entertainment,GTXPlusPro
1/5/2017,Organic,Education,GTXBasic
1/5/2017,Referral,SaaS,GTXPlusPro
1/5/2017,Organic,Health Care,MGRPFS
1/5/2017,Referral,Finance,MGRPFU
1/5/2017,Paid,SaaS,GTXBasic
1/5/2017,Paid,Health Care,MGRPFS
1/5/2017,Direct,Health Care,GTXPlusBasic
1/5/2017,Email,Finance,GTK500U
1/5/2017,Paid,Retail/Entertainment,GTXAdvanced
1/5/2017,Paid,Health Care,GTXPlusPro
1/5/2017,Paid,IT,GTXBasic
1/5/2017,Direct,IT,MGRPFU
1/5/2017,Direct,SaaS,GTXPro
1/5/2017,Organic,Education,GTXBasic
1/5/2017,Referral,Telecom,MGRPFU
1/5/2017,Paid,Telecom,GTXPlusBasic
1/5/2017,Direct,SaaS,GTXPlusBasic
1/5/2017,Social,Health Care,GTXPlusBasic
1/5/2017,Referral,IT,GTXBasic
1/5/2017,Organic,SaaS,MGRPFS
1/6/2017,Email,Telecom,GTXPro
1/6/2017,Organic,Finance,MGRPFS
1/6/2017,Paid,Retail/Entertainment,GTXPlusPro
1/6/2017,Organic,Education,GTXPro
1/6/2017,Email,IT,GTXBasic
1/6/2017,Referral,Finance,MGRPFS
1/6/2017,Organic,SaaS,GTXBasic
1/6/2017,Referral,Finance,MGRPFS
1/6/2017,Social,SaaS,GTXPlusPro
1/6/2017,Organic,Education,GTXPlusBasic
1/6/2017,Email,Finance,GTXPlusBasic
1/6/2017,Paid,IT,GTXPlusPro
1/6/2017,Referral,Telecom,GTXBasic
1/6/2017,Direct,SaaS,MGRPFU
1/6/2017,Social,Telecom,GTXPlusPro
1/6/2017,Organic,SaaS,GTXBasic
1/6/2017,Organic,SaaS,GTXAdvanced
1/6/2017,Social,IT,GTXPro
1/6/2017,Organic,Health Care,MGRPFU
1/7/2017,Social,Telecom,GTXPro
1/7/2017,Social,Telecom,GTXPlusBasic
1/7/2017,Email,IT,GTK500U
1/7/2017,Paid,Finance,GTXPro
1/7/2017,Organic,SaaS,GTK500U
1/7/2017,Direct,Education,GTK500U
1/7/2017,Direct,SaaS,GTXPlusPro
1/7/2017,Social,Health Care,MGRPFS
1/7/2017,Email,Retail/Entertainment,MGRPFU
1/7/2017,Paid,SaaS,GTXAdvanced
1/7/2017,Social,Retail/Entertainment,MGRPFS
1/8/2017,Referral,Health Care,GTK500U
1/8/2017,Paid,Education,GTXAdvanced
1/8/2017,Organic,Retail/Entertainment,GTXPlusPro
1/8/2017,Email,Telecom,GTXPlusPro
1/8/2017,Direct,Health Care,GTK500U
1/8/2017,Paid,Education,MGRPFS
1/8/2017,Referral,Telecom,GTXPlusBasic
1/8/2017,Direct,Telecom,MGRPFS
1/8/2017,Paid,IT,GTXPlusPro
1/8/2017,Organic,Retail/Entertainment,GTXPro
1/8/2017,Referral,Retail/Entertainment,GTXBasic
1/8/2017,Paid,Retail/Entertainment,MGRPFU
1/8/2017,Referral,Finance,GTXBasic
1/8/2017,Referral,Health Care,GTXAdvanced
1/8/2017,Email,IT,MGRPFU
1/8/2017,Direct,Telecom,MGRPFU
1/8/2017,Referral,Retail/Entertainment,GTXPro
1/8/2017,Social,Retail/Entertainment,GTXBasic
1/8/2017,Organic,SaaS,GTXBasic
1/8/2017,Paid,Retail/Entertainment,GTXAdvanced
1/8/2017,Organic,Health Care,MGRPFU
1/8/2017,Direct,Retail/Entertainment,GTXPro
1/8/2017,Email,Finance,GTXPro
1/8/2017,Direct,Finance,GTXPro
1/8/2017,Paid,SaaS,GTXPro
1/8/2017,Organic,Telecom,GTXBasic
1/8/2017,Paid,SaaS,GTK500U
1/8/2017,Referral,Finance,MGRPFS
1/8/2017,Organic,IT,GTXAdvanced
1/8/2017,Paid,IT,MGRPFU
1/8/2017,Paid,Finance,MGRPFU
1/9/2017,Paid,Finance,GTXAdvanced
1/9/2017,Referral,Education,GTK500U
1/9/2017,Organic,Education,GTXBasic
1/9/2017,Email,Telecom,GTXPlusPro
1/9/2017,Direct,IT,GTK500U
1/9/2017,Referral,SaaS,GTXAdvanced
1/9/2017,Paid,Health Care,GTXBasic
1/9/2017,Direct,SaaS,GTXPro
1/9/2017,Email,Retail/Entertainment,GTXPlusBasic
1/9/2017,Social,Retail/Entertainment,GTK500U
1/9/2017,Referral,Finance,GTXPlusBasic
1/9/2017,Social,Telecom,GTXAdvanced
1/9/2017,Organic,Health Care,GTXBasic
1/9/2017,Organic,Telecom,MGRPFU
1/10/2017,Social,Finance,GTK500U
1/10/2017,Organic,Health Care,MGRPFU
1/10/2017,Referral,Health Care,GTXPlusBasic
1/10/2017,Referral,SaaS,GTXPlusPro
1/10/2017,Organic,IT,MGRPFS
1/10/2017,Social,IT,MGRPFS
1/10/2017,Direct,SaaS,MGRPFS
1/10/2017,Referral,Finance,GTXPro
1/10/2017,Referral,IT,GTXBasic
1/10/2017,Paid,SaaS,GTXAdvanced
1/10/2017,Organic,Health Care,GTK500U
1/10/2017,Organic,SaaS,GTK500U
1/10/2017,Organic,SaaS,GTXAdvanced
1/10/2017,Paid,Health Care,MGRPFU
1/10/2017,Email,SaaS,GTXAdvanced
1/10/2017,Direct,Finance,MGRPFU
1/10/2017,Email,IT,MGRPFS
1/10/2017,Email,Finance,MGRPFS
1/10/2017,Paid,Health Care,GTK500U
1/10/2017,Referral,Finance,GTXPro
1/10/2017,Organic,IT,GTK500U
1/10/2017,Email,Finance,GTK500U
1/10/2017,Email,IT,GTK500U
1/10/2017,Social,Finance,GTK500U
1/10/2017,Paid,Telecom,GTXBasic
1/11/2017,Organic,IT,GTK500U
1/11/2017,Email,Telecom,MGRPFU
1/11/2017,Organic,SaaS,GTXPro
1/11/2017,Email,Education,MGRPFU
1/11/2017,Email,Telecom,GTXAdvanced
1/11/2017,Organic,IT,GTXPro
1/11/2017,Social,Health Care,GTXAdvanced
1/11/2017,Referral,Education,MGRPFS
1/11/2017,Paid,IT,GTXPlusBasic
1/11/2017,Social,SaaS,GTXPro
1/11/2017,Paid,Retail/Entertainment,GTXPlusBasic
1/11/2017,Social,Finance,GTK500U
1/11/2017,Social,IT,GTXAdvanced
1/11/2017,Organic,SaaS,MGRPFS
1/11/2017,Paid,Finance,GTXAdvanced
1/11/2017,Referral,Education,GTXPlusPro
1/11/2017,Organic,SaaS,MGRPFS
1/11/2017,Social,SaaS,GTXPlusBasic
1/11/2017,Referral,SaaS,GTXBasic
1/11/2017,Email,Telecom,GTXBasic
1/11/2017,Paid,Health Care,GTXAdvanced
1/11/2017,Direct,Finance,GTXPlusPro
1/11/2017,Paid,Telecom,GTK500U
1/11/2017,Paid,Health Care,GTXBasic
1/11/2017,Email,IT,GTK500U
1/11/2017,Direct,SaaS,GTXPro
1/11/2017,Referral,Health Care,GTXPlusPro
1/11/2017,Email,Education,MGRPFS
1/11/2017,Organic,SaaS,GTXBasic
1/11/2017,Referral,Finance,GTXPlusPro
1/11/2017,Referral,SaaS,GTXPlusBasic
1/11/2017,Paid,Health Care,GTXAdvanced
1/11/2017,Email,Telecom,GTXPro
1/12/2017,Organic,SaaS,GTXPlusPro
1/12/2017,Social,Education,MGRPFS
1/12/2017,Email,Health Care,GTXPlusBasic
1/12/2017,Organic,Finance,GTXPlusPro
1/12/2017,Organic,Telecom,GTXAdvanced
1/12/2017,Social,IT,GTXPlusBasic
1/12/2017,Social,SaaS,GTK500U
1/12/2017,Direct,SaaS,GTXPlusBasic
1/12/2017,Paid,SaaS,GTXAdvanced
1/12/2017,Email,Finance,GTXPlusBasic
1/12/2017,Paid,Telecom,GTXBasic
1/12/2017,Paid,Finance,GTK500U
1/12/2017,Organic,SaaS,GTK500U
1/12/2017,Organic,SaaS,GTXPro
1/12/2017,Email,Education,MGRPFS
1/12/2017,Social,IT,GTXPlusPro
1/12/2017,Referral,Retail/Entertainment,GTXPlusPro
1/12/2017,Organic,IT,GTXPlusPro
1/12/2017,Direct,IT,GTK500U
1/12/2017,Referral,Finance,MGRPFU
1/12/2017,Social,Telecom,GTXPro
1/12/2017,Email,Finance,GTXBasic
1/12/2017,Social,Finance,GTXPlusPro
1/12/2017,Direct,SaaS,GTK500U
1/12/2017,Direct,SaaS,MGRPFU
1/12/2017,Direct,SaaS,GTK500U
1/12/2017,Direct,Finance,GTXPlusPro
1/12/2017,Organic,Retail/Entertainment,GTK500U
1/12/2017,Paid,Retail/Entertainment,GTXAdvanced
1/12/2017,Direct,Health Care,GTK500U
1/13/2017,Organic,Health Care,MGRPFS
1/13/2017,Email,Retail/Entertainment,MGRPFU
1/13/2017,Referral,Finance,MGRPFS
1/13/2017,Direct,Retail/Entertainment,GTXPlusPro
1/13/2017,Social,Telecom,GTXPro
1/13/2017,Direct,IT,GTXAdvanced
1/13/2017,Referral,IT,GTXBasic
1/13/2017,Social,Telecom,GTK500U
1/13/2017,Email,Education,GTXPlusPro
1/13/2017,Email,Telecom,GTXBasic
1/13/2017,Email,Retail/Entertainment,MGRPFS
1/13/2017,Social,Telecom,GTXBasic
1/13/2017,Social,Retail/Entertainment,MGRPFU
1/13/2017,Paid,Telecom,GTXPlusBasic
1/13/2017,Social,Retail/Entertainment,MGRPFS
1/13/2017,Direct,Retail/Entertainment,GTXPlusBasic
1/13/2017,Direct,Telecom,MGRPFU
1/13/2017,Direct,Telecom,GTXPlusPro
1/13/2017,Social,Education,GTXPlusPro
1/13/2017,Organic,IT,GTXPlusBasic
1/13/2017,Social,SaaS,GTXPro
1/13/2017,Email,Retail/Entertainment,GTXPlusBasic
1/13/2017,Paid,Telecom,GTK500U
1/13/2017,Email,Retail/Entertainment,MGRPFU
1/13/2017,Email,Telecom,GTXPlusBasic
1/13/2017,Social,Telecom,GTK500U
1/13/2017,Email,IT,MGRPFU
1/13/2017,Paid,Education,GTXPro
1/13/2017,Referral,IT,GTK500U
1/13/2017,Paid,IT,GTXPro
1/13/2017,Organic,SaaS,MGRPFU
1/13/2017,Social,IT,GTXPro
1/13/2017,Social,Education,GTXPlusBasic
1/13/2017,Paid,Retail/Entertainment,MGRPFU
1/13/2017,Email,Retail/Entertainment,MGRPFS
1/13/2017,Direct,Telecom,GTK500U
1/14/2017,Referral,IT,GTXPro
1/14/2017,Email,Finance,GTK500U
1/14/2017,Organic,SaaS,GTXPro
1/14/2017,Referral,Telecom,GTXPlusBasic
1/14/2017,Paid,Telecom,GTXPlusPro
1/14/2017,Email,Telecom,MGRPFS
1/14/2017,Paid,Telecom,MGRPFU
1/14/2017,Social,Health Care,GTXPlusBasic
1/14/2017,Email,SaaS,MGRPFU
1/14/2017,Organic,Finance,GTXAdvanced
1/14/2017,Referral,Finance,MGRPFU
1/14/2017,Social,IT,MGRPFS
1/14/2017,Direct,Finance,GTK500U
1/14/2017,Referral,SaaS,GTXBasic
1/14/2017,Referral,Finance,GTXPro
1/14/2017,Organic,Finance,GTXBasic
1/14/2017,Social,SaaS,GTXPlusBasic
1/14/2017,Organic,Finance,MGRPFS
1/14/2017,Organic,Health Care,GTXPro
1/14/2017,Direct,Health Care,MGRPFU
1/14/2017,Social,SaaS,MGRPFU
1/14/2017,Organic,Finance,MGRPFU
1/14/2017,Organic,Telecom,GTXPro
1/14/2017,Direct,IT,GTXAdvanced
1/14/2017,Paid,Health Care,GTXPlusPro
1/14/2017,Email,Telecom,GTK500U
1/14/2017,Email,Finance,GTXPlusPro
1/14/2017,Organic,Health Care,GTXAdvanced
1/15/2017,Paid,SaaS,GTXBasic
1/15/2017,Referral,Finance,MGRPFS
1/15/2017,Social,Telecom,GTXAdvanced
1/15/2017,Referral,SaaS,MGRPFU
1/15/2017,Direct,Finance,GTK500U
1/15/2017,Direct,Telecom,GTXAdvanced
1/15/2017,Paid,SaaS,MGRPFS
1/15/2017,Paid,IT,GTK500U
1/15/2017,Paid,Finance,GTXPlusPro
1/15/2017,Social,SaaS,GTK500U
1/15/2017,Referral,IT,GTXPro
1/15/2017,Email,IT,GTXPlusBasic
1/15/2017,Paid,SaaS,GTXPro
1/15/2017,Email,Finance,GTK500U
1/15/2017,Direct,IT,GTXPro
1/16/2017,Paid,Education,GTK500U
1/16/2017,Email,SaaS,MGRPFU
1/16/2017,Email,IT,GTK500U
1/16/2017,Social,Health Care,GTK500U
1/16/2017,Email,Telecom,MGRPFU
1/16/2017,Email,Health Care,GTXAdvanced
1/16/2017,Referral,Telecom,MGRPFS
1/16/2017,Referral,SaaS,GTXPlusPro
1/16/2017,Direct,Telecom,MGRPFS
1/16/2017,Social,Retail/Entertainment,GTXBasic
1/16/2017,Direct,Health Care,GTXAdvanced
1/16/2017,Paid,Telecom,GTXPro
1/16/2017,Email,Retail/Entertainment,GTXPlusPro
1/16/2017,Referral,Education,GTXBasic
1/16/2017,Direct,IT,GTXBasic
1/16/2017,Social,IT,GTXBasic
1/16/2017,Email,Health Care,GTXPlusBasic
1/16/2017,Direct,Education,GTXBasic
1/16/2017,Email,SaaS,GTXPlusPro
1/16/2017,Social,Health Care,GTXPro
1/16/2017,Referral,Finance,GTXPro
1/16/2017,Paid,Health Care,MGRPFU
1/16/2017,Organic,Retail/Entertainment,GTXBasic
1/16/2017,Referral,IT,GTK500U
1/16/2017,Email,SaaS,GTXPlusBasic
1/16/2017,Organic,SaaS,MGRPFU
1/16/2017,Organic,SaaS,GTXPro
1/16/2017,Paid,Finance,MGRPFU
1/16/2017,Direct,Telecom,MGRPFS
1/16/2017,Organic,Education,GTXPlusPro
1/16/2017,Referral,Education,GTXPro
1/16/2017,Paid,Telecom,GTXPlusBasic
1/16/2017,Organic,Finance,MGRPFS
1/16/2017,Paid,Retail/Entertainment,GTXPlusBasic
1/16/2017,Organic,Finance,GTXPlusBasic
1/16/2017,Referral,Finance,MGRPFU
1/16/2017,Email,Retail/Entertainment,GTXAdvanced
1/16/2017,Organic,Telecom,MGRPFU
1/16/2017,Referral,Finance,GTK500U
1/16/2017,Direct,Telecom,GTXBasic
1/16/2017,Email,IT,GTXPlusPro
1/16/2017,Paid,Health Care,GTXAdvanced
1/17/2017,Email,Telecom,GTXPlusPro
1/17/2017,Paid,Finance,GTXAdvanced
1/17/2017,Paid,Health Care,MGRPFS
1/17/2017,Direct,Health Care,GTXAdvanced
1/17/2017,Direct,SaaS,GTXBasic
1/17/2017,Social,Finance,MGRPFS
1/17/2017,Email,Finance,MGRPFU
1/17/2017,Social,IT,GTXBasic
1/17/2017,Email,IT,GTXPro
1/17/2017,Referral,Education,GTXAdvanced
1/17/2017,Referral,IT,GTK500U
1/17/2017,Referral,Health Care,MGRPFU
1/17/2017,Direct,Telecom,MGRPFU
1/17/2017,Referral,Telecom,GTK500U
1/17/2017,Social,SaaS,GTXPlusPro
1/17/2017,Paid,SaaS,MGRPFS
1/17/2017,Social,Telecom,GTXPlusBasic
1/17/2017,Referral,Health Care,GTXPlusPro
1/17/2017,Email,Telecom,GTXAdvanced
1/17/2017,Paid,SaaS,GTXAdvanced
1/17/2017,Referral,Retail/Entertainment,MGRPFU
1/17/2017,Email,Telecom,GTXAdvanced
1/17/2017,Paid,Telecom,GTK500U
1/17/2017,Paid,Finance,GTXPro
1/17/2017,Email,Finance,MGRPFU
1/18/2017,Paid,Retail/Entertainment,GTXPlusBasic
1/18/2017,Paid,SaaS,MGRPFS
1/18/2017,Direct,Telecom,MGRPFS
1/18/2017,Email,Retail/Entertainment,MGRPFU
1/18/2017,Direct,SaaS,GTXPlusBasic
1/18/2017,Paid,Telecom,GTK500U
1/18/2017,Referral,IT,GTK500U
1/18/2017,Paid,SaaS,MGRPFU
